,Well,Time step,unloading,stable production,restriction on production line,towards stable production
354,W16,1936,0.0,1.0,0.0,0.0
355,W4,717,1.0,0.0,0.0,0.0
356,W9,411,1.0,0.0,0.0,0.0
357,W3,667,1.0,0.0,0.0,0.0
358,W9,1864,0.0,0.0,0.0,1.0
359,W5,1995,0.0,0.0,0.0,1.0
360,W2,3722,0.0,1.0,0.0,0.0
361,W13,429,1.0,0.0,0.0,0.0
362,W18,3233,0.0,1.0,0.0,0.0
363,W20,1357,0.0,0.0,0.0,1.0
364,W18,2060,0.0,1.0,0.0,0.0
365,W9,1264,1.0,0.0,0.0,0.0
366,W14,5989,0.0,1.0,0.0,0.0
367,W15,4626,0.0,1.0,0.0,0.0
368,W8,3875,0.0,0.0,1.0,0.0
369,W14,3079,0.0,1.0,0.0,0.0
370,W9,1847,0.0,0.0,0.0,1.0
371,W13,722,1.0,0.0,0.0,0.0
372,W8,4588,0.0,0.0,1.0,0.0
373,W12,1519,0.0,0.0,0.0,1.0
374,W5,1873,0.0,0.0,0.0,1.0
375,W2,3979,0.0,1.0,0.0,0.0
376,W13,2266,0.0,1.0,0.0,0.0
377,W20,2310,0.0,1.0,0.0,0.0
378,W3,1384,0.0,0.0,0.0,1.0
379,W5,5113,0.0,1.0,0.0,0.0
380,W8,931,1.0,0.0,0.0,0.0
381,W13,436,1.0,0.0,0.0,0.0
382,W8,2705,0.0,0.0,1.0,0.0
383,W15,5170,0.0,1.0,0.0,0.0
384,W14,3480,0.0,1.0,0.0,0.0
385,W3,3066,0.0,1.0,0.0,0.0
386,W19,770,1.0,0.0,0.0,0.0
387,W3,1237,1.0,0.0,0.0,0.0
388,W20,959,1.0,0.0,0.0,0.0
389,W5,4599,0.0,1.0,0.0,0.0
390,W3,1797,0.0,0.0,0.0,1.0
391,W10,1625,0.0,0.0,0.0,1.0
392,W17,3449,0.0,1.0,0.0,0.0
393,W18,1133,1.0,0.0,0.0,0.0
394,W18,1897,0.0,1.0,0.0,0.0
395,W11,565,1.0,0.0,0.0,0.0
396,W19,875,1.0,0.0,0.0,0.0
397,W16,3875,0.0,1.0,0.0,0.0
